exam_title,topic_name,type,question_text,options,correct_answers,explanation,difficulty
CEH,Reconnaissance,MCQ,Which is passive recon?,WHOIS lookup|Port scan|Banner grabbing|Vulnerability scan,0,WHOIS does not touch the target infrastructure.,Easy
CEH,Reconnaissance,MCQ,Robots.txt is used to:,Block IPs|Guide web crawlers|Harden SSH|Mitigate DDoS,1,It tells crawlers what to index or not.,Easy
CEH,Scanning & Enumeration,MCQ,Common ping sweep tool:,Hydra|Nmap|Burp|sqlmap,1,Nmap supports -sn for ping sweeps.,Easy
CEH,Scanning & Enumeration,MCQ,SMB runs typically on port:,21|25|80|445,3,SMB over TCP commonly uses 445.,Easy
CEH,Exploitation,MCQ,SQL injection targets:,Network layer|Application/database layer|Physical layer|Link layer,1,It manipulates application queries to DB.,Easy
CEH,Exploitation,MCQ,Stored XSS persists in:,Victim's browser cache|Server-side data|Firewall tables|Router config,1,Stored XSS is saved by the server and served to users.,Medium
CEH,Post-Exploitation & Reporting,MCQ,Privilege escalation aims to:,Reduce privileges|Gain higher privileges|Change MAC address|Hide processes,1,From user to admin/root.,Easy
CEH,Scanning & Enumeration,MCQ,The -sS Nmap option performs:,ACK scan|FIN scan|SYN scan|UDP scan,2,Half-open TCP SYN scan.,Medium
CEH,Exploitation,MCQ,Metasploit module types include:,"Exploit, Payload, Auxiliary|Only Exploit|Only Payload|Only Auxiliary",0,Framework organizes functionality into modules.,Easy
CEH,Reconnaissance,MCQ,Shodan is best described as:,Password cracker|Search engine for internet-connected devices|DDoS tool|SIEM,1,It indexes banners from exposed devices.,Medium
CEH,Exploitation,MCQ,CSRF mainly exploits:,Trust of user in site|Trust of site in user|Weak encryption|Buffer overflow,1,CSRF exploits the site's trust in a user's browser.,Medium
CEH,Scanning & Enumeration,MCQ,SNMP v3 improves over v2 by:,More MIBs|Encryption & auth|New ports|IPv6 only,1,SNMPv3 adds auth & privacy.,Medium
CEH,Post-Exploitation & Reporting,MCQ,A keylogger records:,Network packets|Keystrokes|Screen only|Processes,1,Captures keystrokes.,Easy
CEH,Exploitation,MCQ,Command injection occurs when:,User input passed to shell|DB query mis-formed|Heap overflow|Race condition,0,Unsanitized input reaches OS shell.,Hard
CEH,Scanning & Enumeration,MCQ,Netcat is commonly used for:,Routing|Pivoting|Port scanning & shells|Hash cracking,2,Swiss-army knife for TCP/UDP.,Easy
CEH,Reconnaissance,TRUE_FALSE,Google dorking can reveal sensitive files.,True|False,0,Advanced operators can locate exposed files.,Easy
CEH,Post-Exploitation & Reporting,MCQ,Persistence technique example:,Cron job|Ping sweep|Traceroute|nslookup,0,Scheduled tasks maintain access.,Medium
CEH,Exploitation,MCQ,XXE abuses:,XML parsers|JSON tokens|YAML anchors|CSV delimiters,0,External entities in XML can lead to SSRF/data exfil.,Hard
CEH,Scanning & Enumeration,MCQ,Which banner hints at Apache?,Server: nginx|Server: Apache|Server: IIS|Server: Caddy,1,HTTP header includes 'Apache'.,Easy
CEH,Post-Exploitation & Reporting,MCQ,Reporting should include:,"Only successes|Only failures|Scope, methods, findings, remediation|Screenshots only",2,"Complete, actionable reporting.",Medium
exam_title,topic_name,type,question_text,options,correct_answers,explanation,difficulty
CEH,Cloud Security,MCQ,Exam-style: IAM least privilege principle means: (Exam-style),Give all access|Minimum needed access|Root only|Public roles,1,Only required permissions granted.,Easy
CEH,Malware & Threats,MCQ,"In an assessment, Ransomware typically: (Scenario A)",Steals bandwidth|Encrypts files for ransom|Monitors keystrokes|Deletes OS,1,Encrypts data and demands payment.,Easy
CEH,Social Engineering,MCQ,Exam-style: Pretexting involves: (Case Study),Fake identity story|DNS poisoning|Malware injection|Buffer overflow,0,Convincing story to extract info.,Medium
CEH,Scanning & Enumeration,MCQ,"In an assessment, Which banner hints at Apache? (Scenario A)",Server: nginx|Server: Apache|Server: IIS|Server: Caddy,1,HTTP header includes 'Apache'.,Easy
CEH,Malware & Threats,MCQ,"During a pentest, APT stands for: (SOC Analyst)",Advanced Persistent Threat|All Port Test|Anonymous Port Tunnel|Adaptive Penetration Test,0,"APTs are stealthy, long-term targeted attacks.",Medium
CEH,Web Security,MCQ,"During a pentest, HTTP-only cookie flag helps prevent: (SOC Analyst)",SQLi|XSS stealing cookies|DoS|Phishing,1,Prevents JS access to cookies.,Easy
CEH,Cryptography,MCQ,"In an assessment, Hashing ensures: (Threat Intel)",Confidentiality|Integrity|Availability|Anonymity,1,Hashes verify integrity of data.,Easy
CEH,Post-Exploitation & Reporting,MCQ,Security team asks: A keylogger records: (Mock),Network packets|Keystrokes|Screen only|Processes,1,Captures keystrokes.,Easy
